PR       APPLY      LINT     TEST        branch
----     -----      ----     ----        ------
#48024   CLEAN      PASS     PASS        feat/expose-reasoning-api-server
#48057   CLEAN      PASS     PASS        feat/drop-empty-name-tools
#48065   CLEAN      PASS     PASS        fix/context-engine-tool-schema-doublewrap
#48069   CLEAN      PASS     PASS        fix/mcp-keepalive-inflight-race
#48101   CLEAN      PASS     PASS        feat/per-model-system-prompt-prelude
#49184   CLEAN      PASS     PASS        feat/copilot-claude-v1messages-routing
#49449   CLEAN      PASS     PASS        feat/copilot-codex-true-limits-pr
#49644   CLEAN      PASS     PASS        feat/reasoning-max-effort
#49915   CLEAN      n/a      none        feat/tui-ctrlc-interrupt-vscode
#49916   CLEAN      PASS     none        fix/tui-yolo-badge-approval-mode
#49917   CLEAN      PASS     PASS        fix/tui-notify-autodispatch-gate
#50021   CLEAN      PASS     none        feat/tool-timing-sidecar
#50022   CLEAN      PASS     none        feat/model-router-proxy-tool
#50031   CLEAN      PASS     FAIL        feat/copilot-auto-mode-router
#50032   CLEAN      PASS     PASS        feat/source-accelerator
#50033   CLEAN      PASS     none        feat/gemini-cli-user-agent
#50038   CLEAN      PASS     PASS        feat/codex-cli-identity
#50039   CLEAN      PASS     PASS        feat/agy-cli-provider
#50040   CLEAN      PASS     none        feat/delegate-task-persona
#50041   CLEAN      PASS     PASS        fix/doctor-optional-integrations
#50042   CLEAN      PASS     PASS        feat/file-tools-read-guards
#50045   CLEAN      PASS     PASS        feat/skills-hub-tool-guard
#50046   CLEAN      PASS     PASS        feat/stable-tag-update-check
#50047   CLEAN      PASS     none        fix/gateway-liveness-and-root-guard
#50048   CLEAN      PASS     none        feat/send-plain-text-directive
#50049   CLEAN      PASS     PASS        fix/subdir-hints-expanduser-guard
#50053   CLEAN      PASS     none        feat/context-engine-grounding-hooks
#50054   CLEAN      PASS     none        feat/plugin-register-command-override
#50055   CLEAN      PASS     none        fix/copilot-assistant-prefill-trailing-user
#50056   3WAY       FAIL(13) FAIL        feat/sqlite-driver-selection
#50064   CLEAN      PASS     FAIL        feat/copilot-cli-identity-claude-vision
#50066   CLEAN      PASS     FAIL        tests/bedrock-region-sessions-pagination
#50068   CLEAN      n/a      none        feat/tui-autopilot-yolo-status-badges
#50073   3WAY       PASS     PASS        feat/compression-oversized-message-offload
#50078   CLEAN      PASS     FAIL        tests/orphan-test-catchup-and-discord-max
#50080   CLEAN      PASS     PASS        tests/context-engine-unwrap-and-compression-runtime
#50086   CLEAN      PASS     FAIL        fix/web-server-profiles-sessions-dedupe
#50111   CLEAN      FAIL(5)  none        deferred/residual-lines-on-v0.17.0
#50146   CLEAN      PASS     PASS        feat/gateway-media-image-classification
#50155   CLEAN      PASS     PASS        feat/cmx-grounding-enforcement-hook

EXIT: 1  (0 = no CONFLICT, no LINT-fail, no TEST-fail)
